Date,Mean,Std,Skewness,Kurtosis,Peak2Peak,RMS,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Energy
2013-03-07 01:57:46,0.3460518495075401,2.2704814911196487,0.0038698541677818746,-0.004377687466952995,21.621068,2.2967015661736494,4.914734629107907,1.2535169687034742,6.160703254261338,3.3624508216926143,3090717.5276244134
2013-03-16 06:56:43,0.23317735468935175,1.9842032260947728,-0.0019594097249112964,0.00718464190822532,18.83197498,1.99785738259387,5.048282604089293,1.2539752155471622,6.330421266605859,3.973352373125884,2338724.9432305535
2013-03-17 06:56:04,0.21657491437593868,2.1130407916752687,-0.0013710566401635648,0.12472024803299009,21.85769558,2.1241106564443837,5.4857306490355615,1.258683695822543,6.904799727615077,4.0915753676492095,2643653.0452116933
2013-03-17 18:47:56,0.19380798996480844,2.1335052548106783,-0.012743557158983067,0.09343993300454212,21.588679319999997,2.1422899451939217,5.319963796482433,1.2575072198930421,6.689892883646258,3.9269141043999714,2689098.3166400865
2013-03-18 18:47:15,0.2191931710397552,2.128356219520717,-0.0002038951630473747,0.16470299485072593,24.050760269999998,2.1396134799077573,5.788312882817475,1.2594770682253111,7.290247339621752,4.2913822670158295,2682383.27570017
2013-03-20 00:33:54,0.35865362618246704,2.253585288126357,-0.0023080163923475537,0.08168303931286625,22.63313294,2.281946334696193,5.277084511982275,1.2571147113652597,6.6339005731306795,3.654588137072598,3051132.2717572027
2013-03-21 00:33:14,0.19080269644508957,2.178176037377729,-0.00019285797096114333,0.15483882127806714,25.51455593,2.1865169834184375,6.052097125406858,1.260021140462241,7.625770322143399,4.394492195156856,2801275.945186274
2013-03-22 00:39:50,0.20569228719730484,2.186106375459567,0.0020374738838805635,0.269095038243484,26.43937397,2.1957619182956574,6.175276420917614,1.2632834252733702,7.801124349026681,4.488205668614271,2825014.4877710133
2013-03-23 00:39:11,0.2094771272770405,2.1983042498997585,0.0005088143705281125,0.34785711876108616,25.08910847,2.2082622674808308,5.792555602823585,1.2667291560077594,7.337599069892737,4.209079154140476,2857271.3427765477
2013-03-24 00:45:49,0.3468189678258718,2.209383025724052,0.0017032408370066478,0.10913796526794117,23.86676311,2.2364384075581802,5.338178346272844,1.2580235815374443,6.715554242063795,3.7775802682776507,2930650.749937551
2013-03-25 00:45:12,0.19618300854629173,1.9277617262693876,0.0021404526303321616,0.03467638973844078,17.81828594,1.9377185157063974,4.693770630913506,1.255174122533147,5.891499433028716,3.816270305163776,2200044.9808263313
2013-03-08 02:34:21,0.24409196235740763,2.062146180623394,0.0030102572315688757,0.01946727045774388,19.30990696,2.0765422597065393,4.912862679443727,1.2544614120767492,6.162996654194139,3.7231322643716647,2526572.2954430184
2013-03-26 01:41:50,0.259520113258786,2.228532745854352,-0.0010331467180693483,0.09208279758528848,23.71159935,2.2435928526653384,5.365073144042274,1.257443393345333,6.746275779790432,3.781015748425757,2949431.2513102945
2013-03-27 03:58:27,0.32029307368384946,1.9233600505683621,-0.007469062718079674,0.13799102032864186,19.93832588,1.949846541954566,5.2219827514186274,1.2593549184486632,6.576329662053131,4.247479443661482,2227670.9790845183
2013-03-28 09:55:31,0.2808304396527437,2.242473560625655,0.0015663294098503806,0.13123609318513196,21.835669520000003,2.2599896915562816,5.12368421115501,1.2595953600978587,6.453768858977507,3.5969798182195274,2992699.412463245
2013-03-29 09:55:05,0.2033822195803637,2.0688209854444435,0.006092180203596324,0.10862652591492772,21.653716080000002,2.078794024682762,5.753906937377001,1.2577261591853515,7.236839272657124,4.378481925081432,2532054.8052610466
2013-03-30 10:01:42,0.1974610531331579,2.0250706609652007,0.002760125797399309,0.16136776313314005,21.814958580000003,2.0346749247500178,5.4266902814249685,1.2605088813069119,6.840391295838078,4.2377157525926386,2425717.647221041
2013-03-31 19:38:18,0.25054429427439173,2.134177996758397,-0.002738919392179348,0.10590681609064712,22.55598831,2.148834140933436,5.3229923297064365,1.2581322654632074,6.697028398816836,3.9210785750150023,2705552.5455887313
2013-04-01 19:37:39,0.1703131085527259,1.8823237695488395,0.002190160941412809,0.04530143284837207,19.507882119999998,1.8900130497839016,5.344456902641454,1.255054504347379,6.707584708950599,4.454140887134397,2093050.8888581041
2013-04-02 19:44:15,0.20036076055562382,2.1395020604404493,-0.009831791600362,0.7165165117913226,29.34403229,2.1488633044005745,6.83181759395122,1.2773221457480093,8.726431908464773,5.187144620701421,2705625.984321559
